AreaCode,AreaName,MethodCode,TravelMethod,Observation,PercentOfArea,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000196,South Staffordshire,1,Work mainly at or from home,14069,12.74,388140,303026,110474,46121,271.2,22928,35
E07000197,Stafford,1,Work mainly at or from home,19775,14.45,388230,327866,136870,60047,228.8,28232,79
E07000198,Staffordshire Moorlands,1,Work mainly at or from home,10949,11.42,401331,353540,95851,42355,166.4,21463,23
E07000199,Tamworth,1,Work mainly at or from home,8238,10.47,421984,303220,78646,32895,2549.6,17862,40
E07000200,Babergh,1,Work mainly at or from home,13171,14.26,599986,243163,92332,40200,155.5,19624,37
E07000202,Ipswich,1,Work mainly at or from home,16664,11.93,616698,244356,139644,59507,3534.3,32612,156
E07000203,Mid Suffolk,1,Work mainly at or from home,15527,15.12,611211,265459,102702,44343,117.9,21209,41
E07000207,Elmbridge,1,Work mainly at or from home,35983,25.93,512060,163238,138757,55590,1459.6,21198,54
E07000208,Epsom and Ewell,1,Work mainly at or from home,17930,22.15,521188,161461,80939,31321,2375.4,13282,55
E07000209,Guildford,1,Work mainly at or from home,30814,21.45,500446,150851,143646,55760,530.2,23577,88
E07000210,Mole Valley,1,Work mainly at or from home,19379,22.18,517049,147214,87386,37139,338.3,16078,86
E07000211,Reigate and Banstead,1,Work mainly at or from home,31589,20.94,526286,152009,150852,59849,1168.1,25701,98
E07000212,Runnymede,1,Work mainly at or from home,16530,18.77,501617,167042,88085,34838,1128.6,16235,50
E07000213,Spelthorne,1,Work mainly at or from home,18497,17.97,506652,170605,102953,41805,2293.9,20522,89
E07000214,Surrey Heath,1,Work mainly at or from home,18509,20.46,492648,161313,90460,36008,951.2,15151,40
E07000215,Tandridge,1,Work mainly at or from home,18441,20.98,536712,149345,87878,35623,354.1,15684,50
E07000216,Waverley,1,Work mainly at or from home,28929,22.56,495682,139877,128231,52448,371.5,21220,45
E07000217,Woking,1,Work mainly at or from home,23570,22.68,500423,158249,103940,41437,1634.4,18145,76
E07000218,North Warwickshire,1,Work mainly at or from home,8411,12.93,425346,294421,65035,27580,228.8,14548,35
E07000219,Nuneaton and Bedworth,1,Work mainly at or from home,14461,10.78,435701,289373,134204,56586,1699.7,31093,150
E07000220,Rugby,1,Work mainly at or from home,17792,15.56,445826,276476,114366,47013,325.7,21920,44
E07000221,Stratford-on-Avon,1,Work mainly at or from home,26151,19.41,425910,253437,134727,59464,137.8,25860,30
E07000222,Warwick,1,Work mainly at or from home,32535,21.92,428512,268090,148452,62619,524.8,26664,111
E07000223,Adur,1,Work mainly at or from home,9266,14.36,519857,106296,64547,27678,1534.4,15094,92
E07000224,Arun,1,Work mainly at or from home,18060,10.95,500922,105536,164896,72661,746.1,39292,193
E07000225,Chichester,1,Work mainly at or from home,19385,15.62,488437,116059,124068,54118,157.8,25181,68
E07000226,Crawley,1,Work mainly at or from home,15903,13.42,527313,137822,118495,45502,2634.9,24570,119
E07000227,Horsham,1,Work mainly at or from home,29417,20.04,514696,122819,146776,62370,276.8,26998,88
E07000228,Mid Sussex,1,Work mainly at or from home,31314,20.52,531427,126224,152570,63349,456.8,27050,69
E07000229,Worthing,1,Work mainly at or from home,16767,15.06,513043,104470,111338,49538,3423.7,25883,183
E07000234,Bromsgrove,1,Work mainly at or from home,16436,16.57,398961,273791,99186,41266,457.1,18678,33
E07000235,Malvern Hills,1,Work mainly at or from home,12483,15.71,376452,253907,79483,34892,137.7,16514,33
E07000236,Redditch,1,Work mainly at or from home,9872,11.34,403427,264902,87034,36378,1604.4,19321,97
E07000237,Worcester,1,Work mainly at or from home,13607,13.1,385680,255359,103866,44722,3121.4,22321,108
E07000238,Wychavon,1,Work mainly at or from home,19207,14.5,396608,251844,132495,57356,199.7,27730,83
E07000239,Wyre Forest,1,Work mainly at or from home,10559,10.39,381336,275771,101609,45320,520,24524,106
E07000240,St Albans,1,Work mainly at or from home,38594,26.05,514441,209482,148173,58991,919.3,23218,59
E07000241,Welwyn Hatfield,1,Work mainly at or from home,21001,17.52,524698,209206,119839,46209,925,22403,76
E07000242,East Hertfordshire,1,Work mainly at or from home,31278,20.83,537205,220364,150160,62021,315.7,26576,40
E07000243,Stevenage,1,Work mainly at or from home,12876,14.39,524559,224521,89501,36511,3444.8,19091,125
E07000244,East Suffolk,1,Work mainly at or from home,27774,11.29,636456,265500,246055,110747,195.1,58822,219
E07000245,West Suffolk,1,Work mainly at or from home,21104,11.73,578957,267629,179951,78746,173.9,39891,106
E07000246,Somerset West and Taunton,1,Work mainly at or from home,19392,12.32,304672,132836,157448,69986,132.6,34721,71
E08000001,Bolton,1,Work mainly at or from home,29568,9.99,369187,409211,295961,118790,2117,67499,343
E08000002,Bury,1,Work mainly at or from home,26579,13.71,379434,410155,193851,80696,1948.6,42386,170
E08000003,Manchester,1,Work mainly at or from home,73964,13.4,384645,394923,551943,214732,4772.7,121196,752
E08000004,Oldham,1,Work mainly at or from home,20903,8.63,396668,406152,242081,93140,1700.5,55007,292
E08000005,Rochdale,1,Work mainly at or from home,20151,9.01,389646,413331,223775,90223,1415.6,51742,313
E08000006,Salford,1,Work mainly at or from home,39039,14.46,375503,399266,269927,115116,2777.2,61659,297
E08000007,Stockport,1,Work mainly at or from home,50157,17.02,391577,388561,294776,126648,2338.3,61722,267
E08000008,Tameside,1,Work mainly at or from home,25970,11.24,395938,397900,231063,99527,2239.7,56548,312
E08000009,Trafford,1,Work mainly at or from home,45450,19.34,376532,391465,235063,96269,2216.7,44384,136
E08000010,Wigan,1,Work mainly at or from home,34432,10.46,361033,403243,329329,143105,1750,76487,252
E08000011,Knowsley,1,Work mainly at or from home,14880,9.63,344694,392430,154523,66073,1787,39121,203
